fy,diameter,fc,member_type,Ldb,Ldt,Ldh,Ldc
400,D10,21,FOOTING,300,330,210,220
400,D13,21,FOOTING,330,430,280,290
400,D16,21,FOOTING,410,530,340,350
400,D19,21,FOOTING,480,630,400,420
400,D22,21,FOOTING,770,990,470,490
400,D25,21,FOOTING,990,1280,530,550
400,D29,21,FOOTING,1330,1720,610,640
400,D32,21,FOOTING,1610,2100,680,700
400,D35,21,FOOTING,1930,2510,740,770
400,D10,21,BEAM_COLUMN,420,550,210,220
400,D13,21,BEAM_COLUMN,550,710,280,290
400,D16,21,BEAM_COLUMN,680,880,340,350
400,D19,21,BEAM_COLUMN,800,1040,400,420
400,D22,21,BEAM_COLUMN,1160,1500,470,490
400,D25,21,BEAM_COLUMN,1310,1710,530,550
400,D29,21,BEAM_COLUMN,1520,1980,610,640
400,D32,21,BEAM_COLUMN,1680,2180,680,700
400,D35,21,BEAM_COLUMN,1840,2390,740,770
400,D10,21,SLAB_WALL,300,330,210,220
400,D13,21,SLAB_WALL,410,530,280,290
400,D16,21,SLAB_WALL,580,750,340,350
400,D19,21,SLAB_WALL,770,1000,400,420
400,D22,21,SLAB_WALL,1230,1600,470,490
400,D25,21,SLAB_WALL,1520,1970,530,550
400,D29,21,SLAB_WALL,1920,2490,610,640
400,D32,21,SLAB_WALL,2240,2910,680,700
400,D35,21,SLAB_WALL,2570,3340,740,770
400,D10,24,FOOTING,300,310,200,210
400,D13,24,FOOTING,310,400,260,270
400,D16,24,FOOTING,380,490,320,330
400,D19,24,FOOTING,450,590,380,390
400,D22,24,FOOTING,720,930,440,450
400,D25,24,FOOTING,920,1200,490,520
400,D29,24,FOOTING,1240,1610,570,600
400,D32,24,FOOTING,1510,1960,630,660
400,D35,24,FOOTING,1810,2350,690,720
400,D10,24,BEAM_COLUMN,400,510,200,210
400,D13,24,BEAM_COLUMN,510,670,260,270
400,D16,24,BEAM_COLUMN,630,820,320,330
400,D19,24,BEAM_COLUMN,750,970,380,390
400,D22,24,BEAM_COLUMN,1080,1410,440,450
400,D25,24,BEAM_COLUMN,1230,1600,490,520
400,D29,24,BEAM_COLUMN,1430,1850,570,600
400,D32,24,BEAM_COLUMN,1570,2040,630,660
400,D35,24,BEAM_COLUMN,1720,2230,690,720
400,D10,24,SLAB_WALL,300,310,200,210
400,D13,24,SLAB_WALL,380,490,260,270
400,D16,24,SLAB_WALL,540,700,320,330
400,D19,24,SLAB_WALL,720,940,380,390
400,D22,24,SLAB_WALL,1150,1500,440,450
400,D25,24,SLAB_WALL,1420,1840,490,520
400,D29,24,SLAB_WALL,1800,2330,570,600
400,D32,24,SLAB_WALL,2100,2720,630,660
400,D35,24,SLAB_WALL,2410,3130,690,720
400,D10,27,FOOTING,300,300,190,200
400,D13,27,FOOTING,300,380,250,260
400,D16,27,FOOTING,360,470,300,310
400,D19,27,FOOTING,430,550,360,370
400,D22,27,FOOTING,680,880,410,430
400,D25,27,FOOTING,870,1130,470,490
400,D29,27,FOOTING,1170,1520,540,560
400,D32,27,FOOTING,1420,1850,600,620
400,D35,27,FOOTING,1700,2210,650,680
400,D10,27,BEAM_COLUMN,370,490,190,200
400,D13,27,BEAM_COLUMN,490,630,250,260
400,D16,27,BEAM_COLUMN,600,770,300,310
400,D19,27,BEAM_COLUMN,710,920,360,370
400,D22,27,BEAM_COLUMN,1020,1330,410,430
400,D25,27,BEAM_COLUMN,1160,1510,470,490
400,D29,27,BEAM_COLUMN,1340,1750,540,560
400,D32,27,BEAM_COLUMN,1480,1930,600,620
400,D35,27,BEAM_COLUMN,1620,2110,650,680
400,D10,27,SLAB_WALL,300,300,190,200
400,D13,27,SLAB_WALL,360,460,250,260
400,D16,27,SLAB_WALL,510,660,300,310
400,D19,27,SLAB_WALL,680,890,360,370
400,D22,27,SLAB_WALL,1090,1410,410,430
400,D25,27,SLAB_WALL,1340,1740,470,490
400,D29,27,SLAB_WALL,1690,2200,540,560
400,D32,27,SLAB_WALL,1980,2570,600,620
400,D35,27,SLAB_WALL,2270,2950,650,680
400,D10,30,FOOTING,300,300,180,200
400,D13,30,FOOTING,300,360,230,240
400,D16,30,FOOTING,340,440,290,300
400,D19,30,FOOTING,400,520,340,350
400,D22,30,FOOTING,640,830,390,410
400,D25,30,FOOTING,830,1070,440,460
400,D29,30,FOOTING,1110,1440,510,530
400,D32,30,FOOTING,1350,1750,570,590
400,D35,30,FOOTING,1620,2100,620,640
400,D10,30,BEAM_COLUMN,360,460,180,200
400,D13,30,BEAM_COLUMN,460,600,230,240
400,D16,30,BEAM_COLUMN,570,730,290,300
400,D19,30,BEAM_COLUMN,670,870,340,350
400,D22,30,BEAM_COLUMN,970,1260,390,410
400,D25,30,BEAM_COLUMN,1100,1430,440,460
400,D29,30,BEAM_COLUMN,1280,1660,510,530
