fy,diameter,fc,member_type,Lpb,Lpt,Ldc,Lpc
400,D10,21,FOOTING,330,430,220,300
400,D13,21,FOOTING,430,560,290,370
400,D16,21,FOOTING,530,680,350,450
400,D19,21,FOOTING,630,810,420,540
400,D22,21,FOOTING,990,1290,490,620
400,D25,21,FOOTING,1280,1660,550,710
400,D29,21,FOOTING,1720,2240,640,820
400,D32,21,FOOTING,2100,2720,700,900
400,D35,21,FOOTING,2510,3260,770,990
400,D10,21,BEAM_COLUMN,550,710,220,300
400,D13,21,BEAM_COLUMN,710,930,290,370
400,D16,21,BEAM_COLUMN,880,1140,350,450
400,D19,21,BEAM_COLUMN,1040,1350,420,540
400,D22,21,BEAM_COLUMN,1500,1950,490,620
400,D25,21,BEAM_COLUMN,1710,2220,550,710
400,D29,21,BEAM_COLUMN,1980,2570,640,820
400,D32,21,BEAM_COLUMN,2180,2840,700,900
400,D35,21,BEAM_COLUMN,2390,3100,770,990
400,D10,21,SLAB_WALL,330,430,220,300
400,D13,21,SLAB_WALL,530,680,290,370
400,D16,21,SLAB_WALL,750,980,350,450
400,D19,21,SLAB_WALL,1000,1300,420,540
400,D22,21,SLAB_WALL,1600,2080,490,620
400,D25,21,SLAB_WALL,1970,2560,550,710
400,D29,21,SLAB_WALL,2490,3240,640,820
400,D32,21,SLAB_WALL,2910,3780,700,900
400,D35,21,SLAB_WALL,3340,4340,770,990
400,D10,24,FOOTING,310,400,210,300
400,D13,24,FOOTING,400,520,270,370
400,D16,24,FOOTING,490,640,330,450
400,D19,24,FOOTING,590,760,390,540
400,D22,24,FOOTING,930,1210,450,620
400,D25,24,FOOTING,1200,1560,520,710
400,D29,24,FOOTING,1610,2090,600,820
400,D32,24,FOOTING,1960,2550,660,900
400,D35,24,FOOTING,2350,3050,720,990
400,D10,24,BEAM_COLUMN,510,670,210,300
400,D13,24,BEAM_COLUMN,670,870,270,370
400,D16,24,BEAM_COLUMN,820,1060,330,450
400,D19,24,BEAM_COLUMN,970,1260,390,540
400,D22,24,BEAM_COLUMN,1410,1830,450,620
400,D25,24,BEAM_COLUMN,1600,2070,520,710
400,D29,24,BEAM_COLUMN,1850,2410,600,820
400,D32,24,BEAM_COLUMN,2040,2650,660,900
400,D35,24,BEAM_COLUMN,2230,2900,720,990
400,D10,24,SLAB_WALL,310,400,210,300
400,D13,24,SLAB_WALL,490,640,270,370
400,D16,24,SLAB_WALL,700,910,330,450
400,D19,24,SLAB_WALL,940,1220,390,540
400,D22,24,SLAB_WALL,1500,1940,450,620
400,D25,24,SLAB_WALL,1840,2390,520,710
400,D29,24,SLAB_WALL,2330,3030,600,820
400,D32,24,SLAB_WALL,2720,3540,660,900
400,D35,24,SLAB_WALL,3130,4060,720,990
400,D10,27,FOOTING,300,380,200,300
400,D13,27,FOOTING,380,490,260,370
400,D16,27,FOOTING,470,600,310,450
400,D19,27,FOOTING,550,720,370,540
400,D22,27,FOOTING,880,1140,430,620
400,D25,27,FOOTING,1130,1470,490,710
400,D29,27,FOOTING,1520,1970,560,820
400,D32,27,FOOTING,1850,2400,620,900
400,D35,27,FOOTING,2210,2870,680,990
400,D10,27,BEAM_COLUMN,490,630,200,300
400,D13,27,BEAM_COLUMN,630,820,260,370
400,D16,27,BEAM_COLUMN,770,1000,310,450
400,D19,27,BEAM_COLUMN,920,1190,370,540
400,D22,27,BEAM_COLUMN,1330,1720,430,620
400,D25,27,BEAM_COLUMN,1510,1960,490,710
400,D29,27,BEAM_COLUMN,1750,2270,560,820
400,D32,27,BEAM_COLUMN,1930,2500,620,900
400,D35,27,BEAM_COLUMN,2110,2740,680,990
400,D10,27,SLAB_WALL,300,380,200,300
400,D13,27,SLAB_WALL,460,600,260,370
400,D16,27,SLAB_WALL,660,860,310,450
400,D19,27,SLAB_WALL,890,1150,370,540
400,D22,27,SLAB_WALL,1410,1830,430,620
400,D25,27,SLAB_WALL,1740,2260,490,710
400,D29,27,SLAB_WALL,2200,2860,560,820
400,D32,27,SLAB_WALL,2570,3340,620,900
400,D35,27,SLAB_WALL,2950,3830,680,990
400,D10,30,FOOTING,300,360,200,300
400,D13,30,FOOTING,360,470,240,370
400,D16,30,FOOTING,440,570,300,450
400,D19,30,FOOTING,520,680,350,540
400,D22,30,FOOTING,830,1080,410,620
400,D25,30,FOOTING,1070,1390,460,710
400,D29,30,FOOTING,1440,1870,530,820
400,D32,30,FOOTING,1750,2280,590,900
400,D35,30,FOOTING,2100,2730,640,990
400,D10,30,BEAM_COLUMN,460,600,200,300
400,D13,30,BEAM_COLUMN,600,780,240,370
400,D16,30,BEAM_COLUMN,730,950,300,450
400,D19,30,BEAM_COLUMN,870,1130,350,540
400,D22,30,BEAM_COLUMN,1260,1630,410,620
400,D25,30,BEAM_COLUMN,1430,1860,460,710
400,D29,30,BEAM_COLUMN,1660,2150,530,820
400,D32,30,BEAM_COLUMN,1830,2370,590,900
400,D35,30,BEAM_COLUMN,2000,2600,640,990
400,D10,30,SLAB_WALL,300,360,200,300
400,D13,30,SLAB_WALL,440,570,240,370
400,D16,30,SLAB_WALL,630,820,300,450
400,D19,30,SLAB_WALL,840,1090,350,540
400,D22,30,SLAB_WALL,1340,1740,410,620
400,D25,30,SLAB_WALL,1650,2140,460,710
400,D29,30,SLAB_WALL,2090,2710,530,820
400,D32,30,SLAB_WALL,2440,3160,590,900
400,D35,30,SLAB_WALL,2800,3630,640,990
400,D10,35,FOOTING,300,330,200,300
400,D13,35,FOOTING,330,430,220,370
400,D16,35,FOOTING,410,530,280,450
400,D19,35,FOOTING,490,630,330,540
400,D22,35,FOOTING,770,1000,380,620
400,D25,35,FOOTING,990,1290,430,710
400,D29,35,FOOTING,1340,1730,500,820
400,D32,35,FOOTING,1630,2110,550,900
400,D35,35,FOOTING,1940,2520,600,990
400,D10,35,BEAM_COLUMN,430,550,200,300
400,D13,35,BEAM_COLUMN,550,720,220,370
400,D16,35,BEAM_COLUMN,680,880,280,450
400,D19,35,BEAM_COLUMN,810,1050,330,540
400,D22,35,BEAM_COLUMN,1170,1510,380,620
400,D25,35,BEAM_COLUMN,1320,1720,430,710
400,D29,35,BEAM_COLUMN,1530,1990,500,820
400,D32,35,BEAM_COLUMN,1690,2200,550,900
400,D35,35,BEAM_COLUMN,1850,2400,600,990
400,D10,35,SLAB_WALL,300,330,200,300
400,D13,35,SLAB_WALL,410,530,220,370
400,D16,35,SLAB_WALL,580,760,280,450
400,D19,35,SLAB_WALL,780,1010,330,540
400,D22,35,SLAB_WALL,1240,1610,380,620
400,D25,35,SLAB_WALL,1530,1980,430,710
400,D29,35,SLAB_WALL,1930,2510,500,820
400,D32,35,SLAB_WALL,2260,2930,550,900
400,D35,35,SLAB_WALL,2590,3360,600,990
400,D10,40,FOOTING,300,310,200,300
400,D13,40,FOOTING,310,410,210,370
400,D16,40,FOOTING,380,500,260,450
400,D19,40,FOOTING,450,590,310,540
400,D22,40,FOOTING,720,940,360,620
400,D25,40,FOOTING,930,1210,400,710
400,D29,40,FOOTING,1250,1620,470,820
400,D32,40,FOOTING,1520,1980,520,900
400,D35,40,FOOTING,1820,2360,560,990
400,D10,40,BEAM_COLUMN,400,520,200,300
400,D13,40,BEAM_COLUMN,520,670,210,370
400,D16,40,BEAM_COLUMN,640,830,260,450
400,D19,40,BEAM_COLUMN,750,980,310,540
400,D22,40,BEAM_COLUMN,1090,1420,360,620
400,D25,40,BEAM_COLUMN,1240,1610,400,710
400,D29,40,BEAM_COLUMN,1440,1860,470,820
400,D32,40,BEAM_COLUMN,1580,2060,520,900
400,D35,40,BEAM_COLUMN,1730,2250,560,990
400,D10,40,SLAB_WALL,300,310,200,300
400,D13,40,SLAB_WALL,380,500,210,370
400,D16,40,SLAB_WALL,550,710,260,450
400,D19,40,SLAB_WALL,730,950,310,540
400,D22,40,SLAB_WALL,1160,1510,360,620
